,process_num,iso_level,anomaly,txn_proceeded,txn_succeeded,txn_correct,txn_retries,retry_time,avg_latency,50_percentile_latency,95_percentile_latency,99_percentile_latency
442,4,S,PR,2,1,2,1,1,0.067617546,0.067617546,0.1045411575,0.10782325629999999
443,4,S,PR,2,1,2,1,1,0.06560435649999999,0.06560435649999999,0.10389678564999998,0.10730055712999999
444,4,S,PR,2,1,2,1,1,0.06635646849999999,0.06635646849999999,0.10283353914999997,0.10607594542999997
177,4,RC,NR,2,2,2,0,0,0.0028974294999999928,0.0028974294999999928,0.0033079523500000015,0.0033444432700000023
176,4,RC,NR,2,2,2,0,0,0.005062162000000009,0.005062162000000009,0.005161207900000009,0.005170011980000009
708,4,RR,WS,2,2,2,0,0,0.003326298499999991,0.003326298499999991,0.0034683927500000016,0.0034810233500000027
709,4,RR,WS,2,2,2,0,0,0.0025303765000000006,0.0025303765000000006,0.0025436159500000013,0.0025447927900000013
710,4,RR,WS,2,2,2,0,0,0.0031388349999999926,0.0031388349999999926,0.003275872599999992,0.003288053719999992
711,4,RR,WS,2,1,2,1,1,0.05476465800000001,0.05476465800000001,0.10094619420000002,0.10505121964000003
493,4,RC,RS,2,2,2,0,0,0.0029296055000000154,0.0029296055000000154,0.0029988672500000173,0.0030050238500000177
496,4,RC,RS,2,2,2,0,0,0.0028358680000000053,0.0028358680000000053,0.0029978293,0.00301222586
494,4,RC,RS,2,2,2,0,0,0.003594909500000007,0.003594909500000007,0.004177183850000004,0.004228941570000003
175,4,RC,NR,2,2,2,0,0,0.0033470455000000066,0.0033470455000000066,0.004073518750000005,0.004138094150000005
178,4,RC,NR,2,2,2,0,0,0.0029455020000000026,0.0029455020000000026,0.003297906000000002,0.003329230800000002
762,4,S,WS,2,1,2,1,1,0.054707897000000005,0.054707897000000005,0.10149500900000001,0.1056538634
763,4,S,WS,2,1,2,1,1,0.0555722785,0.0555722785,0.10154934054999999,0.10563619050999999
280,4,S,NR,2,2,2,0,0,0.0023430029999999963,0.0023430029999999963,0.0028817249999999973,0.0029296113999999975
281,4,S,NR,2,1,2,1,1,0.05561701049999998,0.05561701049999998,0.10404160724999997,0.10834601584999998
282,4,S,NR,2,2,2,0,0,0.0031060430000000028,0.0031060430000000028,0.0034012763000000057,0.003427519260000006
283,4,S,NR,2,2,2,0,0,0.002477843500000007,0.002477843500000007,0.0028077902499999987,0.002837118849999998
333,4,RC,PR,2,2,2,0,0,0.016111883000000007,0.016111883000000007,0.02818285850000001,0.02925583410000001
334,4,RC,PR,2,2,2,0,0,0.018824143999999987,0.018824143999999987,0.02203584169999999,0.02232132593999999
335,4,RC,PR,2,2,1,0,0,0.01712414050000001,0.01712414050000001,0.028937710150000018,0.02998780523000002
336,4,RC,PR,2,2,1,0,0,0.01311461600000001,0.01311461600000001,0.020557607000000002,0.0212192062
232,4,RR,NR,2,2,2,0,0,0.0033977325000000003,0.0033977325000000003,0.0036247867500000057,0.0036449693500000065
231,4,RR,NR,2,2,2,0,0,0.0026139074999999984,0.0026139074999999984,0.0030734335500000056,0.0031142803100000062
441,4,S,PR,2,2,2,0,0,0.01500509650000001,0.01500509650000001,0.025029525550000008,0.02592058591000001
230,4,RR,NR,2,2,2,0,0,0.002555722999999996,0.002555722999999996,0.002676901699999999,0.0026876731399999997
15,4,RC,LU,2,2,1,0,0,0.014790965000000003,0.014790965000000003,0.022737256699999993,0.02344359373999999
16,4,RC,LU,2,2,1,0,0,0.006187157999999998,0.006187157999999998,0.0067082723999999875,0.006754593679999987
17,4,RC,LU,2,2,0,0,0,0.012598196500000006,0.012598196500000006,0.014903780050000003,0.015108720810000002
18,4,RC,LU,2,2,0,0,0,0.007187259499999987,0.007187259499999987,0.007319286349999976,0.007331022069999975
388,4,RR,PR,2,2,2,0,0,0.013638045499999987,0.013638045499999987,0.022976918449999984,0.023807040489999983
